CustomerID,Age,Gender,Income,VisitFrequency,AverageSpend,PreferredCuisine,TimeOfVisit,GroupSize,DiningOccasion,MealType,OnlineReservation,DeliveryOrder,WaitTime,ServiceRating,FoodRating,HighSatisfaction
654,35,Male,83380,Weekly,27.829142,Chinese,Breakfast,3,Business,Takeaway,0,1,43.52392853,2,5,0
655,19,Male,43623,Rarely,,American,Dinner,1,Casual,Dine-in,0,0,57.52429446,5,5,0
656,41,Female,83737,Weekly,106.6937712,American,Dinner,6,Celebration,Dine-in,0,1,48.68262293,3,4,0
657,43,Male,96768,Rarely,43.50850773,Indian,Lunch,1,Celebration,Dine-in,0,0,7.552992639,4,5,0
658,55,Female,67937,Monthly,148.0846272,Chinese,Breakfast,1,Business,Takeaway,0,0,37.78904074,2,3,0
659,42,Female,28860,Monthly,111.0646958,Chinese,Dinner,8,Celebration,Takeaway,0,1,26.85329752,4,5,0
660,20,Female,131104,Weekly,120.2367067,Indian,Lunch,,Business,Dine-in,0,0,7.927917128,5,4,0
661,51,Female,137882,Weekly,160.979098,Mexican,Dinner,6,Business,Dine-in,1,1,56.4472096,4,3,0
662,27,Male,149638,Weekly,56.55863193,Indian,Breakfast,5,Celebration,Takeaway,0,1,39.56818761,2,4,0
663,32,Female,136145,Weekly,,Italian,Lunch,9,Casual,Takeaway,0,0,20.78246907,4,3,0
664,21,Male,79249,Monthly,39.23538252,American,Breakfast,5,Business,Takeaway,0,1,18.9485724,1,3,0
665,59,Male,94208,Weekly,132.9949182,Italian,Dinner,8,Casual,Dine-in,0,0,55.04547515,3,3,0
666,32,Female,143471,Monthly,156.1308083,American,Breakfast,4,Casual,Takeaway,0,1,4.710545699,5,2,0
667,69,Male,38433,Daily,46.13686495,Italian,Dinner,4,Business,Takeaway,0,1,20.2434431,1,4,0
668,58,Male,64870,Monthly,88.93909785,American,Lunch,2,Celebration,Dine-in,0,0,58.27164817,2,4,0
669,54,Female,135616,Rarely,112.0075412,American,Lunch,2,Business,Takeaway,1,0,2.328375335,4,4,0
670,59,Female,123325,Weekly,63.93923954,Chinese,Dinner,4,Casual,Takeaway,1,0,2.673592748,3,5,1
671,42,Male,25569,Monthly,,American,Dinner,3,Casual,Dine-in,0,0,54.93378361,1,3,0
672,26,Female,120447,Weekly,52.11032383,Mexican,Dinner,1,Casual,Takeaway,1,1,20.72625135,3,1,0
673,58,Male,70458,Rarely,197.3705341,Italian,Dinner,4,Casual,Takeaway,1,0,40.37442515,1,2,0
674,27,Female,41450,Weekly,14.67769736,Chinese,Dinner,5,Celebration,Dine-in,0,0,9.871496976,1,1,0
675,40,Female,85259,Monthly,61.45665859,Indian,Dinner,9,Business,Dine-in,0,1,12.83437923,3,2,0
676,20,Female,116507,Weekly,169.6578102,Chinese,Dinner,5,Celebration,Takeaway,0,0,12.32876023,4,4,0
677,51,Male,40666,Weekly,54.66875506,Mexican,Lunch,,Casual,Takeaway,0,1,24.85522511,2,2,0
678,21,Male,62296,Weekly,161.1806037,Italian,Lunch,7,Casual,Takeaway,0,1,34.62011065,3,3,0
679,40,Female,38099,Weekly,118.8142359,Chinese,Breakfast,1,Casual,Dine-in,1,1,20.89578124,3,2,0
680,51,Male,105609,Rarely,12.69032088,Chinese,Dinner,6,Business,Takeaway,1,0,24.07485762,5,1,0
